interaction_id,user_id,amount,timestamp,llm_semantic_intent_score,voice_biometric_jitter,synthetic_face_embedding_dist,adversarial_perturbation_index,device_risk,amount_deviation,is_fraud,attack_id,variant_id,variant_name
GENAI-0957DA,USR-7895,353.72,2026-08-19T19:09:00,0.1608,0.28,0.28,0.0771,0.086,0.1696,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0DEE32,USR-4158,55307.21,2026-08-21T19:08:05,0.6051,0.8042,0.3503,0.552,0.8201,0.909,1,GENAI-001,GENAI-V2,Deepfake Video & Voice Authorization Bypass
GENAI-079C73,USR-2921,40.12,2026-08-22T07:37:20,0.0389,0.28,0.0857,0.093,0.1117,0.0589,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-08C1AA,USR-7275,228.6,2026-08-15T18:44:48,0.1565,0.28,0.0921,0.01,0.2309,0.1616,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0F26AD,USR-8961,30327.21,2026-08-25T11:50:10,0.164,0.2177,0.8379,0.4289,0.7344,0.8525,1,GENAI-001,GENAI-V3,Generative AI Synthetic Identity (KYC Diffusion Bypass)
GENAI-0DAB4F,USR-7502,55.6,2026-08-02T18:18:52,0.0322,0.0467,0.121,0.1965,0.35,0.1967,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-08D249,USR-5624,234.14,2026-08-17T01:21:30,0.0254,0.1085,0.28,0.028,0.1552,0.187,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-086B68,USR-1928,86.34,2026-08-12T21:46:39,0.0864,0.245,0.01,0.0459,0.1578,0.2639,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-02526B,USR-2183,42.62,2026-08-23T22:13:24,0.01,0.1274,0.1469,0.1701,0.2195,0.35,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0CB9C5,USR-7232,106.48,2026-08-04T22:32:42,0.4903,0.2994,0.5023,0.3385,0.3981,0.2839,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0DA1C3,USR-8416,7035.07,2026-08-06T04:34:12,0.7712,0.3641,0.2384,0.7593,0.9406,0.8042,1,GENAI-001,GENAI-V1,Conversational Autonomous Fraud Agent
GENAI-0A8485,USR-5014,38.21,2026-08-16T14:56:06,0.036,0.0461,0.1303,0.2273,0.2716,0.0531,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0E3B5D,USR-6631,15.8,2026-08-05T19:52:35,0.077,0.2459,0.1377,0.25,0.1877,0.2901,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0A140F,USR-8315,95.97,2026-08-11T06:00:56,0.1504,0.1079,0.2112,0.25,0.0896,0.3157,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0F218E,USR-5450,121.54,2026-08-24T14:16:58,0.1346,0.1786,0.2493,0.0182,0.35,0.0457,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0B44AE,USR-6167,46.72,2026-08-04T16:19:26,0.0751,0.0133,0.0454,0.0312,0.35,0.2368,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0825E7,USR-7252,68.5,2026-08-16T20:54:34,0.1913,0.28,0.1496,0.0813,0.35,0.0283,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-054608,USR-2733,54.07,2026-08-25T00:07:25,0.0714,0.28,0.28,0.0177,0.35,0.1332,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0274A7,USR-2392,59.06,2026-08-19T23:06:52,0.0219,0.1738,0.1989,0.2424,0.35,0.2403,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0E7E9D,USR-4216,11.99,2026-08-03T04:39:36,0.1708,0.12,0.2765,0.045,0.35,0.0916,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0BAF53,USR-4141,132.77,2026-08-17T06:01:52,0.1456,0.1485,0.0725,0.2466,0.35,0.1231,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-048976,USR-7252,15.56,2026-08-22T22:31:39,0.0399,0.2491,0.0659,0.2417,0.1811,0.3452,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0363A5,USR-7070,33.96,2026-08-04T10:06:56,0.0945,0.0625,0.0563,0.0254,0.35,0.071,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0D4B40,USR-2440,40.96,2026-08-27T05:04:27,0.28,0.0733,0.1725,0.1749,0.2412,0.01,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-07A15F,USR-2872,190.76,2026-08-27T19:23:52,0.0739,0.28,0.1235,0.2434,0.2523,0.3095,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-01E613,USR-7696,23873.84,2026-08-10T03:29:28,0.2267,0.1933,0.8751,0.5631,0.6972,0.9403,1,GENAI-001,GENAI-V3,Generative AI Synthetic Identity (KYC Diffusion Bypass)
GENAI-053976,USR-9722,39.64,2026-08-27T13:23:28,0.28,0.0634,0.0447,0.1635,0.1357,0.0603,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0B952D,USR-2290,70.02,2026-08-04T11:07:31,0.1169,0.065,0.2133,0.145,0.1932,0.3237,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-025270,USR-3119,107.43,2026-08-13T15:24:52,0.28,0.28,0.28,0.1533,0.1636,0.0751,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0AC255,USR-1111,10.0,2026-08-16T19:23:08,0.1803,0.037,0.28,0.1083,0.2514,0.35,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-03F052,USR-2195,98.94,2026-08-10T09:53:22,0.0796,0.2511,0.28,0.2018,0.0825,0.3198,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-057F13,USR-1672,15903.99,2026-08-14T10:25:39,0.7797,0.99,0.4184,0.217,0.9301,0.9749,1,GENAI-001,GENAI-V2,Deepfake Video & Voice Authorization Bypass
GENAI-02C8B9,USR-6662,73.85,2026-08-23T03:29:46,0.0751,0.2151,0.2063,0.0324,0.3375,0.0409,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-05CC80,USR-2256,35.89,2026-08-12T08:20:45,0.1944,0.1555,0.2423,0.1253,0.1556,0.0961,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0C5D66,USR-7056,63.63,2026-08-06T03:14:51,0.28,0.0371,0.28,0.1767,0.2011,0.1718,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-089FCE,USR-7659,49889.38,2026-08-02T10:25:53,0.6771,0.7539,0.3627,0.4311,0.6129,0.99,1,GENAI-001,GENAI-V2,Deepfake Video & Voice Authorization Bypass
GENAI-0346CE,USR-9490,131.1,2026-08-06T05:29:47,0.1894,0.1746,0.0981,0.25,0.142,0.081,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0B3261,USR-5685,68.3,2026-08-09T22:57:53,0.2059,0.045,0.1218,0.1065,0.1534,0.2073,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-03ADB0,USR-7312,1984.68,2026-08-27T09:26:23,0.319,0.2375,0.2114,0.7719,0.4059,0.4863,1,GENAI-001,GENAI-V4,Adaptive Adversarial Feature Evasion
GENAI-0D99F0,USR-6249,57.73,2026-08-05T02:54:13,0.1178,0.0971,0.1176,0.0164,0.2214,0.1831,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0DE208,USR-1716,41.96,2026-08-09T15:19:58,0.2123,0.1111,0.28,0.1736,0.1316,0.2035,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0C24F4,USR-1705,39.31,2026-08-10T15:22:31,0.0587,0.1341,0.1972,0.25,0.35,0.1597,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-060ECE,USR-6502,23.79,2026-08-18T05:32:30,0.2046,0.0124,0.28,0.2037,0.35,0.2349,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-07D37A,USR-9469,18.23,2026-08-13T14:17:18,0.2288,0.2622,0.1607,0.1146,0.0643,0.1252,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0C4DA3,USR-9747,51.17,2026-08-19T00:26:56,0.28,0.28,0.0534,0.0716,0.3245,0.0393,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-059B7D,USR-9570,87.28,2026-08-27T14:36:12,0.1871,0.2671,0.2014,0.1261,0.3226,0.1444,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0F16D0,USR-4883,20654.03,2026-08-11T10:50:42,0.0956,0.1088,0.7378,0.5566,0.6711,0.7347,1,GENAI-001,GENAI-V3,Generative AI Synthetic Identity (KYC Diffusion Bypass)
GENAI-0CF6FC,USR-9307,182.89,2026-08-25T03:10:04,0.1991,0.1235,0.1024,0.0496,0.2073,0.1496,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0EC728,USR-6747,55.42,2026-08-05T03:41:20,0.1639,0.28,0.0825,0.0338,0.35,0.2299,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0D1C81,USR-5640,57.88,2026-08-29T04:25:17,0.2161,0.214,0.0747,0.25,0.2499,0.264,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-08B14F,USR-7414,67.25,2026-08-28T17:46:59,0.0416,0.0528,0.0414,0.0844,0.0937,0.2467,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0567A2,USR-4598,75563.41,2026-08-05T01:03:22,0.5945,0.8311,0.2647,0.3633,0.8526,0.8771,1,GENAI-001,GENAI-V2,Deepfake Video & Voice Authorization Bypass
