transfer_id,sender_account,receiver_account,amount,timestamp,fan_out_degree,fan_in_degree,transit_velocity_sec,amount_layering_ratio,shared_device_cluster,account_dormancy_score,is_fraud,attack_id,variant_id,variant_name,hop_level
TRX-0C838B,ACC-12049,ACC-72551,38.69,2026-08-17T19:15:50.904924,0.35,0.2371,0.1385,0.0061,0,0.1269,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-06A2F4,VICTIM-1403,MULE-WRK-3618,1104.64,2026-08-21T15:30:54,0.7398,0.3714,0.8304,0.7861,0,0.2356,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-06218A,ACC-81229,ACC-67132,45.45,2026-08-16T13:21:37.198974,0.1756,0.35,0.1509,0.2556,0,0.2146,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0BA946,ACC-26184,ACC-60993,11.75,2026-08-09T08:18:51.065865,0.1157,0.02,0.2436,0.0744,0,0.0774,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-036D86,MULE-WRK-5121,MULE-MSTR-688,8922.54,2026-08-09T15:47:30,0.2565,0.5718,0.7499,0.7509,1,0.2464,1,MM-001,MM-V3,Fan-In Consolidation Ring,2
TRX-07C47E,ACC-10404,ACC-39796,43.42,2026-08-13T13:59:12.685208,0.114,0.21,0.0589,0.1201,0,0.1118,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-06D555,ACC-65069,ACC-41312,5.0,2026-08-21T03:34:59.086667,0.1818,0.0262,0.0393,0.0302,0,0.2157,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-096FA2,ACC-84318,ACC-56037,38.03,2026-08-04T02:20:48.848062,0.343,0.2174,0.3525,0.3961,0,0.2353,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B0950,ACC-59377,ACC-65841,101.24,2026-08-16T05:32:22.194901,0.1751,0.1862,0.3,0.0342,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0936C4,ACC-68606,ACC-20106,207.79,2026-08-04T23:30:07.152387,0.1297,0.2678,0.0836,0.2299,0,0.0501,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0AFDB3,VICTIM-9650,MULE-MSTR-594,13849.29,2026-08-26T23:44:15,0.3595,0.1736,0.8901,0.9707,1,0.3039,1,MM-001,MM-V1,Rapid Cash-Out Burst,1
